order_id,customer_id,order_date,order_status,payment_method,sales_channel,gross_amount,discount_amount,shipping_fee,final_amount,delivered_date
O00127,C0168,2025-05-29,Delivered,Debit Card,Marketplace,2065.25,129.75,0,2065.25,2025-06-02
O00128,C0391,2024-05-18,Delivered,UPI,Mobile App,618.2,79.8,59,677.2,2024-05-20
O00129,C0217,2025-01-09,Delivered,Credit Card,Website,186.75,62.25,49,235.75,2025-01-14
O00130,C0080,2024-08-13,Returned,COD,Mobile App,778.15,69.85,0,778.15,2024-08-18
O00131,C0073,2025-12-12,Delivered,Credit Card,Mobile App,551.65,97.35,59,610.65,2025-12-15
O00132,C0484,2025-10-19,Delivered,COD,Website,1328.1,69.9,0,1328.1,2025-10-28
O00133,C0364,2024-04-11,Delivered,Credit Card,Website,339.15,59.85,40,379.15,2024-04-14
O00134,C0171,2025-05-16,Delivered,UPI,Website,708.35,139.65,0,708.35,2025-05-23
O00135,C0016,2025-07-22,Delivered,UPI,Website,296.65,52.35,59,355.65,2025-07-27
O00136,C0466,2025-09-11,Delivered,UPI,Website,758.1,39.9,0,758.1,2025-09-17
O00137,C0070,2025-03-16,In Transit,UPI,Marketplace,1756.55,239.45,0,1756.55,1900-01-00
O00138,C0212,2025-02-25,Delivered,Net Banking,Mobile App,2401.3,194.7,0,2401.3,2025-03-02
O00139,C0306,2024-08-25,Delivered,UPI,Mobile App,449.1,49.9,40,489.1,2024-09-01
O00140,C0071,2024-06-16,Delivered,Debit Card,Website,299.25,99.75,40,339.25,2024-06-18
O00141,C0225,2025-09-23,Delivered,Credit Card,Website,521.55,27.45,49,570.55,2025-09-27
O00142,C0293,2025-08-31,Delivered,Debit Card,Website,558.4,139.6,40,598.4,2025-09-05
O00143,C0392,2025-10-07,Delivered,Credit Card,Mobile App,1078.4,269.6,0,1078.4,2025-10-11
O00144,C0047,2025-08-18,Delivered,UPI,Website,474.05,24.95,49,523.05,2025-08-20
O00145,C0047,2024-04-26,Delivered,UPI,Mobile App,673.1,24.9,49,722.1,2024-05-01
O00146,C0077,2024-06-15,Delivered,Debit Card,Website,359.1,39.9,40,399.1,2024-06-22
O00147,C0002,2025-09-29,Delivered,Credit Card,Website,853.2,94.8,0,853.2,2025-10-04
O00148,C0420,2024-10-22,Delivered,UPI,Mobile App,1697,0,0,1697,2024-10-27
O00149,C0355,2025-12-17,Delivered,UPI,Website,1025.55,22.45,0,1025.55,2025-12-21
O00150,C0150,2025-10-19,Delivered,UPI,Website,449.25,149.75,59,508.25,2025-10-28
O00151,C0353,2025-09-11,In Transit,UPI,Mobile App,1279.65,67.35,0,1279.65,1900-01-00
O00152,C0067,2025-09-21,Delivered,Debit Card,Website,374.25,124.75,40,414.25,2025-09-24
O00153,C0408,2024-04-30,Delivered,Credit Card,Website,1518.1,79.9,0,1518.1,2024-05-05
O00154,C0131,2024-03-10,Delivered,UPI,Website,1130.55,17.45,0,1130.55,2024-03-14
O00155,C0470,2025-04-30,Delivered,Credit Card,Mobile App,2188.8,157.2,0,2188.8,2025-05-05
O00156,C0034,2024-06-01,Delivered,COD,Mobile App,695.85,152.15,49,744.85,2024-06-07
O00157,C0191,2025-04-07,Delivered,Credit Card,Website,549,0,59,608,2025-04-09
O00158,C0257,2024-06-06,Returned,Debit Card,Website,1837.4,259.6,0,1837.4,2024-06-12
O00159,C0352,2025-08-31,Delivered,Net Banking,Website,835.65,62.35,0,835.65,2025-09-04
O00160,C0396,2025-03-27,Delivered,UPI,Website,1966.35,229.65,0,1966.35,2025-03-31
O00161,C0277,2024-08-17,Returned,UPI,Website,279.2,69.8,59,338.2,2024-08-24
O00162,C0366,2025-11-17,Delivered,COD,Mobile App,958.1,39.9,0,958.1,2025-11-23
O00163,C0486,2025-08-14,Returned,UPI,Mobile App,1108.05,39.95,0,1108.05,2025-08-18
O00164,C0167,2025-07-23,Delivered,Credit Card,Website,336.75,112.25,49,385.75,2025-07-25
O00165,C0291,2024-12-16,Delivered,Debit Card,Website,2345.1,49.9,0,2345.1,2024-12-19
O00166,C0395,2025-01-23,Delivered,UPI,Website,424.15,74.85,40,464.15,2025-01-28
O00167,C0229,2024-07-19,Cancelled,UPI,Mobile App,1691.5,254.5,0,0,1900-01-00
O00168,C0314,2025-06-06,Delivered,UPI,Website,509.15,89.85,49,558.15,2025-06-09
O00169,C0202,2025-10-02,Delivered,UPI,Website,1577.2,69.8,0,1577.2,2025-10-11
O00170,C0069,2024-08-12,Delivered,Credit Card,Website,2217.85,177.15,0,2217.85,2024-08-15
O00171,C0296,2025-05-25,Delivered,Credit Card,Website,942.3,104.7,0,942.3,2025-05-31
O00172,C0073,2025-06-23,In Transit,Debit Card,Website,719.1,79.9,0,719.1,1900-01-00
O00173,C0380,2025-11-10,Delivered,Debit Card,Mobile App,509.15,89.85,49,558.15,2025-11-14
O00174,C0294,2024-12-05,In Transit,Net Banking,Website,381.65,67.35,59,440.65,1900-01-00
O00175,C0134,2024-03-03,Delivered,Credit Card,Mobile App,314.1,34.9,40,354.1,2024-03-08
O00176,C0143,2024-11-09,Cancelled,UPI,Website,449.1,49.9,0,0,1900-01-00
O00177,C0414,2024-06-28,Delivered,Credit Card,Mobile App,2663.8,182.2,0,2663.8,2024-07-02
O00178,C0108,2025-08-14,Delivered,Debit Card,Mobile App,616.55,32.45,59,675.55,2025-08-22
O00179,C0120,2025-01-23,Delivered,UPI,Website,1328.1,69.9,0,1328.1,2025-01-27
O00180,C0490,2025-08-20,Delivered,Net Banking,Mobile App,1677.2,119.8,0,1677.2,2025-08-25
O00181,C0354,2024-07-03,Delivered,UPI,Website,426.55,22.45,59,485.55,2024-07-07
O00182,C0481,2025-08-31,Cancelled,COD,Mobile App,1527.3,169.7,0,0,1900-01-00
O00183,C0496,2024-07-08,Delivered,UPI,Website,1627.25,119.75,0,1627.25,2024-07-14
O00184,C0490,2024-08-17,In Transit,UPI,Website,988.2,109.8,0,988.2,1900-01-00
O00185,C0133,2024-08-19,Delivered,Debit Card,Website,299,0,49,348,2024-08-22
O00186,C0464,2025-02-04,Delivered,COD,Website,848.3,149.7,0,848.3,2025-02-09
O00187,C0479,2025-01-02,Delivered,UPI,Marketplace,770.7,77.3,0,770.7,2025-01-05
O00188,C0496,2025-01-28,Delivered,UPI,Website,1248,0,0,1248,2025-02-06
O00189,C0330,2024-11-11,In Transit,Net Banking,Marketplace,679.15,119.85,49,728.15,1900-01-00
O00190,C0061,2024-08-04,Delivered,Credit Card,Mobile App,1996.1,49.9,0,1996.1,2024-08-10
O00191,C0421,2024-04-09,Delivered,Credit Card,Mobile App,853.1,44.9,0,853.1,2024-04-15
O00192,C0295,2024-10-22,Delivered,UPI,Website,359.1,39.9,49,408.1,2024-10-25
O00193,C0069,2024-04-12,Delivered,UPI,Website,1813.95,232.05,0,1813.95,2024-04-15
O00194,C0123,2024-06-27,Delivered,UPI,Website,1499.7,97.3,0,1499.7,2024-07-03
O00195,C0113,2025-04-20,Delivered,UPI,Website,698,0,59,757,2025-04-24
O00196,C0023,2024-04-16,Returned,UPI,Mobile App,1188.3,209.7,0,1188.3,2024-04-21
O00197,C0118,2024-04-22,Delivered,Debit Card,Mobile App,629.1,69.9,49,678.1,2024-04-25
O00198,C0233,2024-07-01,Delivered,Debit Card,Mobile App,2006.55,289.45,0,2006.55,2024-07-06
O00199,C0088,2025-08-14,Cancelled,UPI,Mobile App,211.65,37.35,0,0,1900-01-00
O00200,C0143,2024-01-15,Delivered,UPI,Website,913.35,184.65,0,913.35,2024-01-17
O00201,C0394,2025-08-16,Delivered,Net Banking,Mobile App,599,0,59,658,2025-08-20
O00202,C0047,2024-01-17,Delivered,Debit Card,Mobile App,735.85,162.15,0,735.85,2024-01-21
O00203,C0325,2024-01-02,Delivered,Net Banking,Website,319.2,79.8,59,378.2,2024-01-07
O00204,C0377,2024-02-26,Returned,UPI,Website,331.55,17.45,59,390.55,2024-03-02
O00205,C0447,2025-12-20,Delivered,UPI,Website,299,0,49,348,2025-12-24
O00206,C0425,2024-05-05,Delivered,Net Banking,Mobile App,296.65,52.35,40,336.65,2024-05-08
O00207,C0045,2024-03-23,Delivered,COD,Website,699,0,0,699,2024-03-26
O00208,C0012,2024-10-27,Delivered,COD,Website,349,0,40,389,2024-11-03
O00209,C0336,2025-10-23,Delivered,Debit Card,Website,279.2,69.8,49,328.2,2025-10-26
O00210,C0395,2024-11-12,In Transit,Credit Card,Website,551.65,97.35,59,610.65,1900-01-00
O00211,C0407,2024-08-10,In Transit,Credit Card,Website,629.1,69.9,49,678.1,1900-01-00
O00212,C0076,2025-01-16,In Transit,Credit Card,Website,359.2,89.8,49,408.2,1900-01-00
O00213,C0080,2024-01-05,Delivered,Credit Card,Mobile App,1527.45,269.55,0,1527.45,2024-01-14
O00214,C0410,2025-08-01,Returned,UPI,Website,549,0,40,589,2025-08-05
O00215,C0101,2025-01-31,Delivered,UPI,Website,639.2,159.8,59,698.2,2025-02-04
O00216,C0007,2024-10-18,Delivered,Credit Card,Mobile App,759.05,39.95,0,759.05,2024-10-22
O00217,C0072,2025-08-24,Delivered,UPI,Marketplace,1438.2,159.8,0,1438.2,2025-08-28
O00218,C0237,2025-12-28,Returned,UPI,Mobile App,853.1,44.9,0,853.1,2026-01-02
O00219,C0079,2024-09-25,Delivered,Debit Card,Website,1809.85,237.15,0,1809.85,2024-09-29
O00220,C0307,2025-01-05,Delivered,Net Banking,Mobile App,269.1,29.9,59,328.1,2025-01-07
O00221,C0450,2024-10-22,Delivered,UPI,Marketplace,559.2,139.8,59,618.2,2024-10-25
O00222,C0392,2024-04-06,Delivered,UPI,Website,948.1,49.9,0,948.1,2024-04-09
O00223,C0211,2024-12-14,Delivered,UPI,Website,940.05,206.95,0,940.05,2024-12-20
O00224,C0214,2025-04-16,Delivered,UPI,Website,269.1,29.9,59,328.1,2025-04-21
O00225,C0089,2025-12-27,Delivered,UPI,Website,818.4,179.6,0,818.4,2025-12-30
O00226,C0101,2025-10-23,Delivered,Credit Card,Marketplace,699,0,0,699,2025-10-26
O00227,C0301,2024-07-23,Delivered,UPI,Mobile App,1642.35,204.65,0,1642.35,2024-07-25
O00228,C0462,2025-10-16,Returned,COD,Mobile App,254.15,44.85,40,294.15,2025-10-19
O00229,C0209,2024-04-25,Delivered,Credit Card,Website,296.65,52.35,40,336.65,2024-04-29
O00230,C0352,2025-03-30,Delivered,COD,Website,1342.25,104.75,0,1342.25,2025-04-04
O00231,C0053,2024-10-27,Delivered,Net Banking,Website,339.15,59.85,59,398.15,2024-11-01
O00232,C0411,2025-10-21,Delivered,Debit Card,Marketplace,2720.2,74.8,0,2720.2,2025-10-24
O00233,C0168,2024-06-05,Delivered,Debit Card,Mobile App,426.55,22.45,49,475.55,2024-06-09
O00234,C0280,2024-01-19,Delivered,Credit Card,Marketplace,719.1,79.9,0,719.1,2024-01-21
O00235,C0441,2024-11-06,Delivered,Credit Card,Website,359.1,39.9,59,418.1,2024-11-11
O00236,C0244,2025-07-29,Delivered,UPI,Website,2879.2,114.8,0,2879.2,2025-07-31
O00237,C0339,2024-09-07,Delivered,Credit Card,Marketplace,699,0,0,699,2024-09-11
O00238,C0443,2025-03-08,Returned,UPI,Mobile App,922.1,24.9,0,922.1,2025-03-13
O00239,C0431,2025-07-02,Delivered,UPI,Mobile App,783.15,64.85,0,783.15,2025-07-07
O00240,C0219,2024-08-02,Delivered,Net Banking,Website,284.05,14.95,49,333.05,2024-08-07
O00241,C0361,2025-06-12,Delivered,UPI,Marketplace,740.65,57.35,0,740.65,2025-06-17
O00242,C0268,2024-07-24,Delivered,UPI,Mobile App,339.15,59.85,40,379.15,2024-07-29
O00243,C0137,2024-10-20,Delivered,Credit Card,Website,594.15,104.85,49,643.15,2024-10-24
O00244,C0217,2025-10-24,Delivered,UPI,Website,1038.15,59.85,0,1038.15,2025-10-26
O00245,C0161,2025-09-08,Delivered,COD,Mobile App,1672.4,274.6,0,1672.4,2025-09-13
O00246,C0122,2024-11-10,Cancelled,Debit Card,Mobile App,1090.6,57.4,0,0,1900-01-00
O00247,C0442,2025-08-15,Delivered,UPI,Website,509.15,89.85,40,549.15,2025-08-19
O00248,C0421,2025-08-10,Cancelled,Debit Card,Marketplace,1469.65,77.35,0,0,1900-01-00
O00249,C0416,2024-10-29,Delivered,COD,Website,2834.7,359.3,0,2834.7,2024-11-05
O00250,C0482,2025-05-18,Delivered,Net Banking,Mobile App,1072.3,124.7,0,1072.3,2025-05-20
O00251,C0406,2025-01-24,Delivered,UPI,Website,1144.95,202.05,0,1144.95,2025-01-30
O00252,C0352,2025-02-24,Delivered,Credit Card,Mobile App,508.3,89.7,40,548.3,2025-02-26
O00253,C0115,2024-01-22,Returned,Debit Card,Mobile App,1184.65,62.35,0,1184.65,2024-01-30
O00254,C0476,2025-04-09,Delivered,UPI,Website,1541.4,154.6,0,1541.4,2025-04-12
O00255,C0121,2025-09-24,Delivered,Credit Card,Mobile App,523.5,174.5,49,572.5,2025-09-29
O00256,C0363,2025-03-09,Delivered,UPI,Website,898.5,299.5,0,898.5,2025-03-17
O00257,C0307,2025-12-27,Delivered,UPI,Mobile App,261.75,87.25,59,320.75,2025-12-29
O00258,C0450,2024-11-13,Delivered,UPI,Website,2178.05,266.95,0,2178.05,2024-11-19
O00259,C0487,2024-06-03,Returned,Debit Card,Website,539.1,59.9,40,579.1,2024-06-09
O00260,C0064,2024-11-07,Cancelled,Debit Card,Mobile App,1596,0,0,0,1900-01-00
O00261,C0472,2024-03-19,Delivered,UPI,Website,236.55,12.45,40,276.55,2024-03-26
O00262,C0246,2025-04-09,Delivered,Debit Card,Website,359.2,89.8,59,418.2,2025-04-16
O00263,C0067,2024-08-04,Delivered,UPI,Mobile App,803.2,94.8,0,803.2,2024-08-08
O00264,C0146,2025-10-24,Delivered,UPI,Website,339.15,59.85,40,379.15,2025-10-28
O00265,C0229,2025-02-01,Delivered,Credit Card,Mobile App,808.1,39.9,0,808.1,2025-02-04
O00266,C0080,2025-05-22,Delivered,UPI,Website,299.25,99.75,59,358.25,2025-05-29
O00267,C0268,2025-03-13,Delivered,UPI,Website,359.1,39.9,59,418.1,2025-03-19
O00268,C0059,2025-11-08,Delivered,Net Banking,Website,254.15,44.85,59,313.15,2025-11-12
O00269,C0175,2024-07-10,Delivered,COD,Website,893.1,54.9,0,893.1,2024-07-14
O00270,C0382,2025-09-08,Delivered,Net Banking,Mobile App,1097,0,0,1097,2025-09-14
O00271,C0097,2024-01-28,Delivered,Debit Card,Website,963.1,34.9,0,963.1,2024-01-31
O00272,C0011,2025-04-05,Delivered,Credit Card,Mobile App,466.65,82.35,49,515.65,2025-04-12
O00273,C0306,2025-07-21,Delivered,UPI,Website,1452.1,44.9,0,1452.1,2025-07-26
O00274,C0138,2025-10-25,Delivered,Credit Card,Marketplace,284.05,14.95,40,324.05,2025-10-29
O00275,C0174,2025-09-08,Delivered,Credit Card,Mobile App,987.3,109.7,0,987.3,2025-09-17
O00276,C0342,2024-10-24,Delivered,UPI,Website,3641.8,202.2,0,3641.8,2024-10-29
